ID,Name,Make,Model,Reason,Missing Fields
"product_7270eea9-00f2-5288-03dc-5ddc9bffb872","Mercedes SL280","Mercedes","Mercedes SL280","No owner email",""
"product_68bfebfd-c6c6-e167-500c-433d43598f36","BMW 635csi","BMW","BMW 635csi","No owner email",""
"product_b21a81c0-3cd9-9e0e-889e-84384b795608","Range Rover 4.6 HSE","5","Range Rover 4.6 HSE","No owner email",""
"product_bc5ccb5e-9ff4-73e8-7fb6-08af533c1554","Ford Granada","5","Ford Granada","No owner email",""
"product_33b43d5d-e34b-148d-980b-a158853fdfab","Ford Granada","Ford","Ford Granada","No owner email",""
"product_34022825-6847-d41d-443a-3049e43b0540","Ford Galaxie","Ford","Ford Galaxie","No owner email",""
"product_351ce897-9fad-9d9a-0b5a-dbd734cb8b82","Edsel Pacer Convertible","#ffff00:yellow","Edsel Pacer Convertible","No owner email",""
"product_7be462ba-b9ad-4d61-9be7-a3efe2caeffd","Jaguar Sovereign","5","Jaguar Sovereign","No owner email",""
"product_cba46a13-d7c4-60ea-a781-71b0b2a7e48e","Edsel Ranger","Edsel","Edsel Ranger","No owner email",""
"product_c7100e98-d83c-db92-d37d-71a236997cc7","Chevrolet Bel Air","Chevrolet","Chevrolet Bel Air","No owner email",""
"product_e2aa3c30-502b-6ccf-d14b-4c304d5cbe63","Rover SD1","Rover","Rover SD1","No owner email",""
"product_d526d81f-a750-ff58-6530-5eee741f38fe","Mercedes A124 E220 Cabriolet","#2424f9:Blue","Mercedes A124 E220 Cabriolet","No owner email",""
"product_e7993236-ea5f-c59d-bbea-09bbe149e43a","Cadillac Sedan DeVille","Cadillac","Cadillac Sedan DeVille","No owner email",""
"product_f96d5ac9-c5d0-5b9a-dc17-0a736ea40907","Lambretta Li125","(empty)","Lambretta Li125","No owner email",""
"product_b6f3ba4a-8b36-0e22-6df0-0c440249f3bd","Ariel Red Hunter","(empty)","Ariel Red Hunter","No owner email",""
"product_df87ac17-d46e-aaf9-d697-9c00b6fbbf5a","Triumph Thunderbird","(empty)","Triumph Thunderbird","No owner email",""
"product_eca48a21-5dbd-3bca-b0ee-cf68c42f6682","Moto Guzzi Le Mans mk1","(empty)","Moto Guzzi Le Mans mk1","No owner email",""
"product_bf48e8ff-34f6-afef-0342-155515f3eaf5","Moto Guzzi T3","(empty)","Moto Guzzi T3","No owner email",""
"product_44e1ed55-26ed-ddea-c1ea-893e914b4cef","Ford Escort Mexico","Ford","Ford Escort Mexico","No owner email",""
"product_2b2bdc2c-338b-6da4-ebe5-2342748f8924","Ford Mustang","Ford","Ford Mustang","No owner email",""
"product_43573788-7b04-7b28-e4b6-fb88617003e8","Citroën DS23 Pallas","5","Citroën DS23 Pallas","No owner email",""
"product_1b3c9108-0cbc-6ba6-4763-d17dff38e488","Renault 4F6","#000000:Black;#ffffff:White;#ffff00:yellow","Renault 4F6","No owner email",""
"product_6fbf9336-9459-9c27-816a-b746e42b390d","Citroën Type H Van","#d9d9d9:Silver","Citroën Type H Van","No owner email",""
"product_a1636cd8-049a-77a3-50f1-af91e6749593","BMW 735i","5","BMW 735i","No owner email",""
"product_bff10b15-dbbf-0971-bc01-3e5b32ed646e","Mercedes 560SEL","Right Hand Drive","Mercedes 560SEL","No owner email",""
"product_804f8c10-9196-ad61-4a00-464e125dc388","Triumph Herald 1360 Convertible","4","Triumph Herald 1360 Convertible","No owner email",""
"product_482183c5-856f-47fd-a04a-6a547bdfbf6e","Ford Cortina","#ceb009:Gold","Ford Cortina","No owner email",""
"product_c131e290-f751-3faa-3d2a-6f7932b7a6c2","Volkswagen T2 Camper Van","5","Volkswagen T2 Camper Van","No owner email",""
"product_04a96d19-442b-cd16-40bf-4a0a64efdb5b","Volkswagen Split Screen Panel Van","2","Volkswagen Split Screen Panel Van","No owner email",""
"product_64b20297-d984-5c41-448d-05a35ea286f9","MG BGT","Right Hand Drive","MG BGT","No owner email",""
"product_dbbb6f97-d490-41a4-6a17-fc9306a14a5a","Mercedes 230CE","Mercedes","Mercedes 230CE","No owner email",""
"product_f8e5ea02-958a-de02-1443-420c832a5e8d","Fiat 124 Abarth Rally","#ffffff:White","Fiat 124 Abarth Rally","No owner email",""
